id	count	first_case	signature	origin	details
01-8964203c735d	325	19	parse-agreement|ref-accept/impl-reject|expected-token	generate	expected-token
02-b8648f61e800	395	25	parse-agreement|ref-accept/impl-reject|expected-expression	generate	expected-expression
03-9bb27e039d3f	17	30	parse-agreement|ref-reject/impl-accept|syntax-error	generate	syntax-error ; syntax-error,trailing-block-position ; syntax-error,trailing-block-position,trailing-block-position
04-7823ca1acefa	98	62	parse-agreement|ref-accept/impl-reject|decorator-not-top-level	generate	decorator-not-top-level
05-893a962bd2d3	27	115	parse-agreement|ref-accept/impl-reject|unsupported-generic-parameter	generate	unsupported-generic-parameter
06-b84fcdc0e3f1	7	196	parse-agreement|ref-accept/impl-reject|nonfinal-positional-spread	mutate:typing/invalid/nonfinal-spread.hd:swap-lines	nonfinal-positional-spread
07-6c9d1d871cb9	3	438	parse-agreement|ref-accept/impl-reject|invalid-assignment-target	mutate:typing/invalid/readonly-list-element-replacement.hd:swap-tokens+swap-tokens+delete-token	invalid-assignment-target
08-a4921bb265de	2	516	parse-agreement|ref-accept/impl-reject|duplicate-mutable-permission	generate	duplicate-mutable-permission
09-9311460326e2	4	595	parse-agreement|ref-accept/impl-reject|unsupported-generic-enum-bound	generate	unsupported-generic-enum-bound
10-81ec21a4d0bd	11	645	parse-agreement|ref-accept/impl-reject|missing-impl-body	generate	missing-impl-body
11-97fccb8d7f00	5	875	parse-agreement|ref-accept/impl-reject|nonfinal-vararg	generate	nonfinal-vararg
12-e3b24f0b1c89	2	1031	parse-agreement|ref-accept/impl-reject|unsupported-generic-data-bound	generate	unsupported-generic-data-bound
13-a2642e771c73	3	1076	parse-agreement|ref-accept/impl-reject|unsupported-local-generic-function	generate	unsupported-local-generic-function
14-516c4ff7d1d1	16	1228	parse-agreement|ref-accept/impl-reject|expected-newline	generate	expected-newline
15-35d8cbc9f7d0	4	2053	parse-agreement|ref-reject/impl-accept|trailing-block-position	generate	trailing-block-position ; trailing-block-position,trailing-block-position
16-07a88a5419e0	4	2539	parse-agreement|ref-accept/impl-reject|invalid-string-interpolation	mutate:typing/invalid/nil-to-any.hd:replace-literal	invalid-string-interpolation
17-974b4fb774bd	2	2580	parse-agreement|ref-accept/impl-reject|doc-comment-without-target	generate	doc-comment-without-target
18-7ea3731eb10d	2	3361	parse-agreement|ref-reject/impl-accept|invalid-escape	mutate:typing/invalid/readonly-mut-field-mutation.hd:replace-literal	invalid-escape
