count	compiler	action	outcome
1663	c0	parse	reject:expected-token
1382	c0	parse	reject:expected-expression
556	c0	parse	accept
524	c0	parse	reject:decorator-not-top-level
152	c0	parse	reject:mismatched-delimiter
149	c0	parse	reject:expected-newline
131	c0	parse	reject:unclosed-delimiter
98	c0	parse	reject:inconsistent-dedent
60	c0	parse	reject:unsupported-generic-parameter
37	c0	parse	reject:doc-comment-without-target
37	c0	parse	reject:missing-let
32	c0	parse	reject:missing-impl-body
19	c0	parse	reject:nonfinal-vararg
16	c0	parse	reject:unsupported-local-generic-function
11	c0	parse	reject:reserved-name
10	c0	parse	reject:invalid-string-interpolation
9	c0	parse	reject:argument-order
9	c0	parse	reject:old-export-declaration
8	c0	parse	reject:duplicate-mutable-permission
8	c0	parse	reject:nonfinal-positional-spread
8	c0	parse	reject:reserved-semicolon
8	c0	parse	reject:unsupported-generic-enum-bound
7	c0	parse	reject:invalid-escape
7	c0	parse	reject:old-struct-declaration
7	c0	parse	reject:tab-whitespace
7	c0	parse	reject:unexpected-bom
6	c0	parse	reject:direct-variant-use
6	c0	parse	reject:unsupported-generic-data-bound
4	c0	parse	reject:trailing-block-position
3	c0	parse	reject:invalid-assignment-target
3	c0	parse	reject:mutable-embedded-field
3	c0	parse	reject:trait-method-visibility
2	c0	parse	reject:comparison-chaining
2	c0	parse	reject:embedded-field-default
2	c0	parse	reject:missing-method-body
2	c0	parse	reject:multi-binding-needs-parentheses
2	c0	parse	reject:old-import-declaration
2	c0	parse	reject:pattern-order
2	c0	parse	reject:unsupported-type-form
2	c0	parse	reject:unterminated-string
1	c0	parse	reject:expected-pattern
1	c0	parse	reject:generic-arity
1	c0	parse	reject:mutable-field-modifier
1	c0	parse	reject:unexpected-character
