count	compiler	action	outcome
1244	c0	check	accept
506	c0	check	reject:expected-expression
360	c0	check	reject:unknown-name
293	c0	check	reject:expected-token
272	c0	check	reject:unknown-type
177	c0	check	reject:decorator-not-top-level
139	c0	check	reject:type-mismatch
106	c0	check	reject:unsupported-generic-parameter
101	c0	check	reject:unknown-trait
97	c0	check	reject:duplicate-binding
72	c0	check	reject:readonly-root
68	c0	check	reject:duplicate-data-field
68	c0	check	reject:integer-literal-range
64	c0	check	reject:private-type-leak
46	c0	check	reject:nonexhaustive-match
45	c0	check	reject:expected-newline
41	c0	check	reject:missing-requirement
40	c0	check	reject:prelude-name-shadow
39	c0	check	reject:mutable-upgrade
38	c0	check	reject:invalid-string-interpolation
36	c0	check	reject:duplicate-module-name
35	c0	check	reject:duplicate-trait-member
33	c0	check	reject:invalid-map-key
32	c0	check	reject:missing-return-value
31	c0	check	reject:missing-contextual-enum-type
30	c0	check	reject:discarded-must-use-value
30	c0	check	reject:mutable-receiver-required
29	c0	check	reject:duplicate-type
27	c0	check	reject:float-literal-range
27	c0	check	reject:readonly-edge
26	c0	check	reject:identity-requires-references
25	c0	check	reject:suspension-forbidden-context
25	c0	check	reject:trait-not-dynamically-safe
24	c0	check	reject:missing-partial-eq
24	c0	check	reject:nonhost-entry-requirement
23	c0	check	reject:orphan-impl
22	c0	check	reject:impure-data-default
21	c0	check	reject:partial-generic-arguments
21	c0	check	reject:sealed-trait-implementation
21	c0	check	reject:unresolved-generic-placeholder
20	c0	check	reject:duplicate-field
20	c0	check	reject:mixed-numeric-types
20	c0	check	reject:unsupported-string-indexing
19	c0	check	reject:no-common-type
19	c0	check	reject:supertrait-cycle
18	c0	check	reject:duplicate-data-pattern-field
18	c0	check	reject:non-reassignable-parameter-binding
17	c0	check	reject:duplicate-variant
17	c0	check	reject:enum-default-order
17	c0	check	reject:recursive-closure-needs-result-type
17	c0	check	reject:unsaturated-enum-constructor
16	c0	check	reject:bare-variant-pattern
16	c0	check	reject:defer-outside-cleanup-scope
16	c0	check	reject:missing-required-field
16	c0	check	reject:nonfinal-positional-spread
16	c0	check	reject:optional-pattern-requires-optional
16	c0	check	reject:readonly-argument-to-mutable-parameter
16	c0	check	reject:unsupported-equality
15	c0	check	reject:bang-call-outside-suspension
15	c0	check	reject:impure-enum-default
15	c0	check	reject:suspending-defer
14	c0	check	reject:trait-method-signature
14	c0	check	reject:unreachable-match-arm
13	c0	check	reject:ambiguous-method
13	c0	check	reject:generic-requirement-key-collision
13	c0	check	reject:missing-trait-method
12	c0	check	reject:break-value-context
11	c0	check	reject:argument-count
11	c0	check	reject:duplicate-inherent-member
11	c0	check	reject:nil-needs-optional-type
11	c0	check	reject:non-reassignable-binding
11	c0	check	reject:possibly-uninitialized-binding
10	c0	check	reject:binding-not-yet-visible
10	c0	check	reject:promoted-mutable-requirement
9	c0	check	reject:nonnumeric-unary-plus
9	c0	check	reject:result-constructor-needs-context
8	c0	check	reject:duplicate-embedded-field
8	c0	check	reject:identity-needs-reference-bound
8	c0	check	reject:unknown-method
7	c0	check	reject:duplicate-impl-member
7	c0	check	reject:missing-partial-ord
7	c0	check	reject:overlapping-impl
7	c0	check	reject:return-outside-function
7	c0	check	reject:unknown-data-field
6	c0	check	reject:match-arm-type
6	c0	check	reject:top-level-read-before-initialization
4	c0	check	reject:generic-type-mismatch
4	c0	check	reject:unknown-variant
4	c0	check	reject:unsupported-gadt-result
3	c0	check	reject:break-outside-loop
3	c0	check	reject:extra-trait-method
3	c0	check	reject:impure-parameter-default
3	c0	check	reject:invalid-result-propagation
3	c0	check	reject:not-callable
2	c0	check	reject:if-branch-type
2	c0	check	reject:invalid-assignment-target
1	c0	check	reject:empty-list-needs-context
1	c0	check	reject:interpolated-pattern
1	c0	check	reject:invalid-unary-operand
1	c0	check	reject:member-on-non-data
1	c0	check	reject:nonfinal-vararg
1	c0	check	reject:not-suspending
1	c0	check	reject:pattern-type-mismatch
1	c0	check	reject:reserved-name
1	c0	check	reject:unsupported-local-generic-function
