count	compiler	action	outcome
3814	c0	parse	accept
1244	c0	check	accept
847	c0	run	violation:no-located-code
705	c0	test	violation:no-located-code
506	c0	check	reject:expected-expression
506	c0	parse	reject:expected-expression
506	c0	run	reject:expected-expression
506	c0	test	reject:expected-expression
403	c0	test	accept
360	c0	check	reject:unknown-name
360	c0	run	reject:unknown-name
360	c0	test	reject:unknown-name
293	c0	check	reject:expected-token
293	c0	parse	reject:expected-token
293	c0	run	reject:expected-token
293	c0	test	reject:expected-token
285	c0	run	accept
272	c0	check	reject:unknown-type
272	c0	run	reject:unknown-type
272	c0	test	reject:unknown-type
177	c0	check	reject:decorator-not-top-level
177	c0	parse	reject:decorator-not-top-level
177	c0	run	reject:decorator-not-top-level
177	c0	test	reject:decorator-not-top-level
139	c0	check	reject:type-mismatch
139	c0	run	reject:type-mismatch
139	c0	test	reject:type-mismatch
106	c0	check	reject:unsupported-generic-parameter
106	c0	parse	reject:unsupported-generic-parameter
106	c0	run	reject:unsupported-generic-parameter
106	c0	test	reject:unsupported-generic-parameter
101	c0	check	reject:unknown-trait
101	c0	run	reject:unknown-trait
101	c0	test	reject:unknown-trait
97	c0	check	reject:duplicate-binding
97	c0	run	reject:duplicate-binding
97	c0	test	reject:duplicate-binding
72	c0	check	reject:readonly-root
72	c0	run	reject:readonly-root
72	c0	test	reject:readonly-root
68	c0	check	reject:duplicate-data-field
68	c0	check	reject:integer-literal-range
68	c0	run	reject:duplicate-data-field
68	c0	run	reject:integer-literal-range
68	c0	test	reject:duplicate-data-field
68	c0	test	reject:integer-literal-range
64	c0	check	reject:private-type-leak
64	c0	run	reject:private-type-leak
64	c0	test	reject:private-type-leak
46	c0	check	reject:nonexhaustive-match
46	c0	run	reject:nonexhaustive-match
46	c0	test	reject:nonexhaustive-match
45	c0	check	reject:expected-newline
45	c0	parse	reject:expected-newline
45	c0	run	reject:expected-newline
45	c0	test	reject:expected-newline
41	c0	check	reject:missing-requirement
41	c0	run	reject:missing-requirement
41	c0	test	reject:missing-requirement
40	c0	check	reject:prelude-name-shadow
40	c0	run	reject:prelude-name-shadow
40	c0	test	reject:prelude-name-shadow
39	c0	check	reject:mutable-upgrade
39	c0	run	reject:mutable-upgrade
39	c0	test	reject:mutable-upgrade
38	c0	check	reject:invalid-string-interpolation
38	c0	parse	reject:invalid-string-interpolation
38	c0	run	reject:invalid-string-interpolation
38	c0	test	reject:invalid-string-interpolation
36	c0	check	reject:duplicate-module-name
36	c0	run	reject:duplicate-module-name
36	c0	test	reject:duplicate-module-name
35	c0	check	reject:duplicate-trait-member
35	c0	run	reject:duplicate-trait-member
35	c0	test	reject:duplicate-trait-member
33	c0	check	reject:invalid-map-key
33	c0	run	reject:invalid-map-key
33	c0	test	reject:invalid-map-key
32	c0	check	reject:missing-return-value
32	c0	run	reject:missing-return-value
32	c0	test	reject:missing-return-value
31	c0	check	reject:missing-contextual-enum-type
31	c0	run	reject:missing-contextual-enum-type
31	c0	test	reject:missing-contextual-enum-type
30	c0	check	reject:discarded-must-use-value
30	c0	check	reject:mutable-receiver-required
30	c0	run	reject:discarded-must-use-value
30	c0	run	reject:mutable-receiver-required
30	c0	test	reject:discarded-must-use-value
30	c0	test	reject:mutable-receiver-required
29	c0	check	reject:duplicate-type
29	c0	run	reject:duplicate-type
29	c0	test	reject:duplicate-type
27	c0	check	reject:float-literal-range
27	c0	check	reject:readonly-edge
27	c0	run	reject:float-literal-range
27	c0	run	reject:readonly-edge
27	c0	test	reject:float-literal-range
27	c0	test	reject:readonly-edge
26	c0	check	reject:identity-requires-references
26	c0	run	reject:identity-requires-references
26	c0	test	reject:identity-requires-references
25	c0	check	reject:suspension-forbidden-context
25	c0	check	reject:trait-not-dynamically-safe
25	c0	run	panic:iterator-invalidated
25	c0	run	reject:suspension-forbidden-context
25	c0	run	reject:trait-not-dynamically-safe
25	c0	test	panic:iterator-invalidated
25	c0	test	reject:suspension-forbidden-context
25	c0	test	reject:trait-not-dynamically-safe
24	c0	check	reject:missing-partial-eq
24	c0	check	reject:nonhost-entry-requirement
24	c0	run	reject:missing-partial-eq
24	c0	run	reject:nonhost-entry-requirement
24	c0	test	reject:missing-partial-eq
24	c0	test	reject:nonhost-entry-requirement
23	c0	check	reject:orphan-impl
23	c0	run	reject:orphan-impl
23	c0	test	reject:orphan-impl
22	c0	check	reject:impure-data-default
22	c0	run	reject:impure-data-default
22	c0	test	reject:impure-data-default
21	c0	check	reject:partial-generic-arguments
21	c0	check	reject:sealed-trait-implementation
21	c0	check	reject:unresolved-generic-placeholder
21	c0	run	reject:partial-generic-arguments
21	c0	run	reject:sealed-trait-implementation
21	c0	run	reject:unresolved-generic-placeholder
21	c0	test	reject:partial-generic-arguments
21	c0	test	reject:sealed-trait-implementation
21	c0	test	reject:unresolved-generic-placeholder
20	c0	check	reject:duplicate-field
20	c0	check	reject:mixed-numeric-types
20	c0	check	reject:unsupported-string-indexing
20	c0	run	reject:duplicate-field
20	c0	run	reject:mixed-numeric-types
20	c0	run	reject:unsupported-string-indexing
20	c0	test	panic:suspension-nested-driver
20	c0	test	reject:duplicate-field
20	c0	test	reject:mixed-numeric-types
20	c0	test	reject:unsupported-string-indexing
19	c0	check	reject:no-common-type
19	c0	check	reject:supertrait-cycle
19	c0	run	panic:integer-overflow
19	c0	run	reject:no-common-type
19	c0	run	reject:supertrait-cycle
19	c0	test	panic:integer-overflow
19	c0	test	reject:no-common-type
19	c0	test	reject:supertrait-cycle
18	c0	check	reject:duplicate-data-pattern-field
18	c0	check	reject:non-reassignable-parameter-binding
18	c0	run	panic:explicit-panic
18	c0	run	reject:duplicate-data-pattern-field
18	c0	run	reject:non-reassignable-parameter-binding
18	c0	test	panic:explicit-panic
18	c0	test	reject:duplicate-data-pattern-field
18	c0	test	reject:non-reassignable-parameter-binding
17	c0	check	reject:duplicate-variant
17	c0	check	reject:enum-default-order
17	c0	check	reject:recursive-closure-needs-result-type
17	c0	check	reject:unsaturated-enum-constructor
17	c0	run	reject:duplicate-variant
17	c0	run	reject:enum-default-order
17	c0	run	reject:recursive-closure-needs-result-type
17	c0	run	reject:unsaturated-enum-constructor
17	c0	test	panic:assertion-failed
17	c0	test	reject:duplicate-variant
17	c0	test	reject:enum-default-order
17	c0	test	reject:recursive-closure-needs-result-type
17	c0	test	reject:unsaturated-enum-constructor
16	c0	check	reject:bare-variant-pattern
16	c0	check	reject:defer-outside-cleanup-scope
16	c0	check	reject:missing-required-field
16	c0	check	reject:nonfinal-positional-spread
16	c0	check	reject:optional-pattern-requires-optional
16	c0	check	reject:readonly-argument-to-mutable-parameter
16	c0	check	reject:unsupported-equality
16	c0	parse	reject:nonfinal-positional-spread
16	c0	run	reject:bare-variant-pattern
16	c0	run	reject:defer-outside-cleanup-scope
16	c0	run	reject:missing-required-field
16	c0	run	reject:nonfinal-positional-spread
16	c0	run	reject:optional-pattern-requires-optional
16	c0	run	reject:readonly-argument-to-mutable-parameter
16	c0	run	reject:unsupported-equality
16	c0	test	reject:bare-variant-pattern
16	c0	test	reject:defer-outside-cleanup-scope
16	c0	test	reject:missing-required-field
16	c0	test	reject:nonfinal-positional-spread
16	c0	test	reject:optional-pattern-requires-optional
16	c0	test	reject:readonly-argument-to-mutable-parameter
16	c0	test	reject:unsupported-equality
15	c0	check	reject:bang-call-outside-suspension
15	c0	check	reject:impure-enum-default
15	c0	check	reject:suspending-defer
15	c0	run	panic:index-out-of-bounds
15	c0	run	reject:bang-call-outside-suspension
15	c0	run	reject:impure-enum-default
15	c0	run	reject:suspending-defer
15	c0	test	panic:index-out-of-bounds
15	c0	test	reject:bang-call-outside-suspension
15	c0	test	reject:impure-enum-default
15	c0	test	reject:suspending-defer
14	c0	check	reject:trait-method-signature
14	c0	check	reject:unreachable-match-arm
14	c0	run	reject:trait-method-signature
